name,special_price,price
iPhone 17 Pro 256GB Single Sim - Silver,2200000,2200000
iPhone 17 Pro 512GB Single Sim - Cosmic Orange,2600000,2600000
iPhone 17 Pro 512GB Single Sim - Deep Blue,2600000,2600000
iPhone 17 Pro 512GB Single Sim - Silver,2600000,2600000
iPhone 17 Pro Max 256GB Single Sim - Cosmic Orange,2700000,2700000
iPhone 17 Pro Max 256GB Single Sim - Deep Blue,2700000,2700000
iPhone 17 Pro Max 256GB Single Sim - Silver,2650000,2650000
iPhone 17 Pro Max 512GB Single Sim - Cosmic Orange,3100000,3100000
iPhone 17 Pro Max 512GB Single Sim - Deep Blue,3100000,3100000
iPhone 17 Pro Max 512GB Single Sim - Silver,3100000,3100000
iPhone 17 Pro 256GB Single Sim - Deep Blue,2200000,2200000
iPhone 17 Pro 256GB Single Sim - Cosmic Orange,2250000,2250000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- White",1500000,1500000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh-  Ultramarine",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- Teal",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- Pink",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Black",1550000,1550000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - White",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Ultramarine",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Teal",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Pink",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Black",1450000,1450000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,600000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,600000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,650000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,650000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,650000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,650000
"Iphone 12 Pro - 6.1"" - 256GB ROM - 6GB RAM - 2815mAh",679999,800000
"Iphone 12 Pro - 6.1"" - 256GB ROM - 6GB RAM - 2815mAh",679999,800000
"Iphone 12 Pro - 6.1"" - 256GB ROM - 6GB RAM - 2815mAh",679999,800000
"Iphone 12 Pro - 6.1"" - 256GB ROM - 6GB RAM - 2815mAh",679999,800000
"Iphone 12 Pro - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",639999,780000
"Iphone 12 Pro - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",639999,780000
"Iphone 12 Pro - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",639999,780000
"Iphone 12 Pro - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",639999,780000
"Iphone 12 - 6.1"" - 64GB ROM - 4GB RAM - 2815mAh",446000,550000
"Iphone 12 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - 5g - 3687mAh - Blue",695999,800000
"Iphone 12 Pro Max - 6.7"" - 128GB ROM - 6GB RAM- 5g - 3687mAh",695999,800000
"Iphone 12 Pro Max - 6.7"" - 128GB ROM - 6GB RAM- 5g - 3687mAh",695999,800000
"Iphone 12 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - 5g - 3687mAh",695999,800000
"Iphone 12 Pro Max - 6.7"" - 256GB ROM - 6GB RAM- 5g - 3687mAh",765999,850000
"Iphone 12 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - 5g - 3687mAh",765999,850000
"Iphone 12 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - 5g - 3687mAh",765999,850000
"Iphone 12 Pro Max - 6.7"" - 256GB ROM - 6GB RAM- 5g - 3687mAh",765999,850000
"Iphone 13 Pro Max - 6.7"" - 512GB ROM - 6GB RAM - Ios 15 - 4352mAh",1059999,1300000
"Iphone 13 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - Ios 15 - 4352mAh",989999,1150000
"Iphone 13 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - Ios 15 - 4352mAh",989999,1150000
"Iphone 13 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - Ios 15 - 4352mAh",989999,1150000
"Iphone 13 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - Ios 15 - 4352mAh",989999,1150000
"Iphone 13 Pro Max - 6.7"" - 512GB ROM - 6GB RAM - Ios 15 - 4352mAh",1059999,1300000
"Iphone 13 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - Ios 15 - 4352mAh",989999,1100000
"Iphone 13 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - Ios 15 - 4352mAh",899999,1100000
"Iphone 13 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - Ios 15 - 4352mAh",899999,1100000
"Iphone 13 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - Ios 15 - 4352mAh",899999,1100000
"Iphone 13 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - Ios 15 - 4352mAh",899999,1100000
"Iphone 13 Pro Max - 6.7"" - 128GB ROM - 6GB RAM - Ios 15 - 4352mAh",899999,1100000
"Iphone 13 Pro 5g - 6.1"" - 512GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",929999,1000000
"Iphone 13 Pro 5g - 6.1"" - 512GB ROM - 6GB RAM - Ios 15 - 3095mAh",929999,1000000
"Iphone 13 Pro 5g - 6.1"" - 512GB ROM - 6GB RAM - Ios 15 - 3095mAh",929999,1000000
"Iphone 13 Pro 5g - 6.1"" - 512GB ROM - 6GB RAM - Ios 15 - 3095mAh",929999,1000000
"Iphone 13 Pro 5g - 6.1"" - 512GB ROM - 6GB RAM - Ios 15 - 3095mAh",929999,1000000
"Iphone 13 Pro Max - 6.7"" - 512GB ROM - 6GB RAM - Ios 15 - 4352mAh",1059999,1300000
"Iphone 13 Pro Max - 6.7"" - 512GB ROM - 6GB RAM - Ios 15 - 4352mAh",1059999,1300000
"Iphone 13 Pro Max - 6.7"" - 512GB ROM - 6GB RAM - Ios 15 - 4352mAh",1059999,1300000
"Iphone 13 Pro 5g - 6.1"" - 256GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",869999,950000
"Iphone 13 Pro 5g - 6.1"" - 256GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",869999,950000
"Iphone 13 Pro 5g - 6.1"" - 256GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",869999,950000
"Iphone 13 Pro 5g - 6.1"" - 256GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",869999,950000
"Iphone 13 Pro 5g - 6.1"" - 256GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",869999,950000
"Iphone 13 Pro 5g - 6.1"" - 128GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",769999,850000
"Iphone 13 Pro 5g - 6.1"" - 128GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",769999,850000
"Iphone 13 Pro 5g - 6.1"" - 128GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",769999,850000
"Iphone 13 Pro 5g - 6.1"" - 128GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",769999,850000
"Iphone 13 Pro 5g - 6.1"" - 128GB ROM - 6GB RAM - 1sim - Ios 15 - 3095mAh",769999,850000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - Oled - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - 3240mAh",695000,800000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - 3240mAh",695000,850000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - 3240mAh",695000,850000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - Oled - 3240mAh",695000,850000
"Iphone 13 - 6.1""- 5g - 128GB ROM - 4GB RAM - Super Retina - 3240mAh",620000,800000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - 3240mAh",695000,850000
"Iphone 13 - 6.1""- 5g - 256GB ROM - 4GB RAM - Super Retina - 3240mAh",695000,850000
Iphone 14 Pro Max - 512GB ROM + 6GB RAM- Nano Sim - 4323mAh,1299999,1550000
Iphone 14 Pro Max - 512GB ROM + 6GB RAM- Nano Sim - 4323mAh,1299999,1550000
Iphone 14 Pro Max - 512GB ROM + 6GB RAM- Nano Sim - 4323mAh,1299999,1500000
Iphone 14 Pro Max - 512GB ROM + 6GB RAM- Nano Sim - 4323mAh,1299999,1550000
Iphone 14 Pro Max - 256GB ROM + 6GB RAM- Nano Sim - 4323mAh,1199999,1350000
Iphone 14 Pro Max- 256GB ROM + 6GB RAM- Nano Sim - 4323mAh,1199999,1350000
Iphone 14 Pro Max - 256GB ROM + 6GB RAM- Nano Sim - 4323mAh,1199999,1300000
Iphone 14 Pro Max- 256GB ROM + 6GB RAM- Nano Sim - 4323mAh,1199999,1350000
"Iphone 14 Pro Max 6.7""- 128GB ROM + 6GB RAM- Nano Sim - 4323mAh",1099999,1300000
"Iphone 14 Pro Max 6.7"" - 128GB ROM + 6GB RAM- Nano Sim - 4323mAh",1099999,1300000
"Iphone 14 Pro Max 6.7"" - 128GB ROM + 6GB RAM- Nano Sim - 432mAh",1099999,1300000
"Iphone 14 Pro Max 6.7"" - 128GB ROM + 6GB RAM- Nano Sim - 4323mAh",1099999,1300000
